Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Honduras,HND,0.0445300005376339,0.0383399985730648,0.0418099984526634,0.0421499982476234,0.0415499992668629,..,..,..,..,..,..,..,..,..,..,0.0149699999019504,..,0.0399399995803833,0.0639400035142899,0.0594800002872944,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Hong Kong SAR, China",HKG,0.46492999792099,0.536450028419495,0.581470012664795,0.68027001619339,0.721759974956512,0.773429989814758,0.794679999351501,0.751609981060028,0.71995997428894,0.773419976234436,0.749459981918335,0.720860004425049,0.727330029010773,0.730170011520386,0.740140020847321,0.761829972267151,0.791499972343445,0.835189998149872,0.863300025463104,0.925570011138916,0.99235999584198
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Hungary,HUN,0.790960013866425,0.913100004196167,0.983550012111664,0.91882997751236,0.859899997711182,0.919510006904602,0.977400004863739,0.954450011253357,0.977569997310638,1.12802004814148,1.12864995002747,1.17925000190735,1.25423002243042,1.38409996032715,1.3445999622345,1.33958995342255,1.1798700094223,1.3170200586319,1.50775003433228,1.47291004657745,1.59315001964569
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iceland,ISL,2.5720100402832,2.83989000320435,2.82119989395142,2.70549988746643,..,2.67968988418579,2.8526599407196,2.53293991088867,2.46413993835449,2.59713006019592,..,2.40367007255554,..,1.69237995147705,1.93615996837616,2.18131995201111,2.11011004447937,2.08413004875183,2.00080990791321,2.34165000915527,2.49068999290466
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,India,IND,0.756990015506744,0.735909998416901,0.725669980049133,0.719290018081665,0.756900012493134,0.824109971523285,0.804729998111725,0.805069983005524,0.858759999275208,0.833140015602112,0.788489997386932,0.755020022392273,0.743990004062653,0.706420004367828,0.701590001583099,0.693099975585938,0.669839978218079,0.666029989719391,0.660009980201721,0.659420013427734,0.646359980106354
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Indonesia,IDN,0.0676899999380112,0.0475599989295006,..,..,..,..,..,..,..,0.0833199992775917,..,..,..,0.0847000032663345,..,..,0.245350003242493,0.238049998879433,0.226319998502731,0.271290004253387,0.280680000782013
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Iran, Islamic Rep.",IRN,..,0.502179980278015,0.495579987764359,0.594839990139008,0.504530012607574,0.622839987277985,0.559210002422333,..,0.646470010280609,0.272579997777939,0.264420002698898,..,0.294349998235703,0.236010000109673,..,0.393830001354218,..,0.759829998016357,..,0.788290023803711,..
